traffic,driver_id,weather,order_type,vehicle_type,driver_age,driver_rating,rest_lat,rest_lon,dest_lat,dest_lon,temp,humidity,distance
High,VADRES13DEL03,Clear,Meal,Bike,36,4.0,22.310.237,73.158.921,22.400.237,73.248.921,22.48,43.0,18.92
High,RANCHIRES04DEL02,Clear,Drinks,Bike,22,4.8,23.359.033,85.325.347,23.439.033,85.405.347,17.58,69.0,14.99
High,PUNERES18DEL01,Clear,Buffet,Bike,38,4.4,18.593.481,73.785.901,18.663.481,73.855.901,19.01,65.0,15.81
High,INDORES08DEL02,Foggy,Snack,Bike,24,4.9,22.725.748,75.898.497,22.775.748,75.948.497,17.08,72.0,13.69
High,KOCRES010DEL01,Foggy,Snack,Bike,39,4.7,10.035.573,76.336.958,10.105.573,76.406.958,23.9,88.0,15.77
High,VADRES11DEL02,Clear,Drinks,Bike,31,4.3,22.308.096,73.167.753,22.388.096,73.247.753,22.63,43.0,16.42
High,ALHRES12DEL01,Clear,Meal,Bike,39,4.7,25.443.994,81.860.187,25.513.994,81.930.187,22.03,55.0,16.02
High,RANCHIRES11DEL03,Clear,Snack,Bike,37,4.6,23.359.194,85.325.447,23.449.194,85.415.447,17.54,69.0,18.5
High,HYDRES19DEL02,Cloudy,Meal,Bike,25,4.9,17.458.998,78.500.366,17.508.998,78.550.366,21.29,64.0,10.7
High,JAPRES03DEL01,Foggy,Drinks,Bike,29,4.6,26.913.483,75.803.139,26.983.483,75.873.139,19.83,68.0,12.55
High,MUMRES06DEL03,Foggy,Snack,Bike,25,4.8,19.055.831,72.833.984,19.115.831,72.893.984,26.83,44.0,11.65
High,RANCHIRES18DEL01,Clear,Buffet,Bike,39,4.7,23.351.489,85.324.253,23.421.489,85.394.253,17.84,68.0,12.97
High,INDORES06DEL02,Foggy,Meal,Bike,38,3.9,22.728.163,75.884.212,22.808.163,75.964.212,17.19,72.0,16.78
High,MYSRES04DEL03,Cloudy,Meal,Bike,38,4.3,12.3085,76.665.808,12.3985,76.755.808,18.43,82.0,19.64
High,SURRES19DEL01,Clear,Buffet,Bike,36,4.9,21.149.669,72.772.629,21.219.669,72.842.629,23.05,43.0,14.03
High,KNPRES16DEL03,Clear,Meal,Bike,26,4.1,26.482.581,80.315.628,26.572.581,80.405.628,21.74,56.0,18.1
High,MYSRES12DEL03,Cloudy,Drinks,Bike,36,4.9,12.284.747,76.625.861,12.344.747,76.685.861,18.22,81.0,14.53
High,PUNERES19DEL03,Clear,Snack,Bike,23,4.6,18.563.934,73.915.367,18.653.934,74.005.367,19.37,65.0,21.48
High,KOLRES18DEL03,Foggy,Buffet,Bike,37,5.0,22.569.367,88.433.187,22.629.367,88.493.187,22.98,83.0,15.08
High,BANGRES14DEL03,Foggy,Snack,Bike,26,4.8,12.949.934,77.699.386,13.009.934,77.759.386,19.73,93.0,13.71
High,SURRES09DEL02,Clear,Snack,Bike,29,5.0,21.175.975,72.795.503,21.255.975,72.875.503,22.88,43.0,15.2
High,INDORES09DEL01,Clear,Snack,Bike,26,4.9,22.725.835,75.887.648,22.835.835,75.997.648,17.27,53.0,22.02
High,PUNERES09DEL03,Clear,Meal,Bike,29,4.8,18.536.562,73.896.485,18.596.562,73.956.485,19.08,65.0,13.9
High,HYDRES12DEL01,Cloudy,Drinks,Bike,27,4.5,17.429.585,78.392.621,17.469.585,78.432.621,21.43,65.0,9.43
High,BANGRES07DEL01,Foggy,Buffet,Bike,32,4.1,12.978.453,77.643.685,13.048.453,77.713.685,19.5,93.0,12.76
High,JAPRES13DEL02,Foggy,Drinks,E-Bike,20,4.8,26.846.156,758.023,26.926.156,758.823,19.98,68.0,18.08
High,BANGRES13DEL01,Foggy,Snack,Bike,34,4.7,12.935.662,7.761.413,12.975.662,7.765.413,20.21,91.0,11.19
High,JAPRES07DEL02,Foggy,Buffet,Bike,36,4.8,26.766.536,75.837.333,26.896.536,75.967.333,20.12,68.0,37.48
High,VADRES05DEL01,Clear,Buffet,Bike,30,4.6,22.310.526,73.170.937,22.420.526,73.280.937,22.47,44.0,21.29
High,KNPRES16DEL01,Clear,Meal,Bike,32,4.8,26.482.581,80.315.628,26.552.581,80.385.628,21.73,56.0,15.4
High,COIMBRES16DEL02,Foggy,Buffet,Bike,31,4.5,11.010.375,7.695.295,11.090.375,7.703.295,24.95,73.0,17.3
High,AURGRES14DEL03,Foggy,Snack,Bike,28,5.0,19.875.016,75.322.405,19.965.016,75.412.405,17.15,82.0,16.62
High,INDORES13DEL03,Clear,Buffet,Bike,33,4.5,22.745.049,75.892.471,22.835.049,75.982.471,17.25,53.0,19.0
High,INDORES12DEL03,Clear,Drinks,Bike,35,4.2,2.274.806,758.934,2.283.806,759.834,17.25,53.0,18.76
High,AGRRES03DEL01,Clear,Buffet,Bike,35,4.9,27.160.832,78.011.608,27.230.832,78.081.608,21.71,51.0,15.29
High,KOCRES14DEL01,Foggy,Drinks,Bike,32,4.4,10.027.014,76.308.053,10.137.014,76.418.053,23.95,88.0,21.08
High,DEHRES010DEL01,Clear,Meal,Bike,32,4.3,30.328.174,78.049.117,30.398.174,78.119.117,12.44,77.0,15.87
High,BANGRES07DEL01,Foggy,Buffet,Bike,20,4.5,12.978.453,77.643.685,13.048.453,77.713.685,19.5,93.0,12.76
High,VADRES01DEL01,Clear,Buffet,Bike,31,4.4,22.307.898,73.167.788,22.417.898,73.277.788,22.47,44.0,20.94
High,SURRES14DEL03,Clear,Buffet,Bike,21,4.9,21.157.729,72.768.726,21.247.729,72.858.726,22.92,43.0,16.07
High,MYSRES16DEL02,Partly Cloudy,Drinks,Bike,39,4.0,12.316.967,76.603.067,12.446.967,76.733.067,18.12,77.0,26.21
High,MYSRES05DEL02,Partly Cloudy,Snack,E-Bike,25,4.9,12.323.978,76.627.961,12.453.978,76.757.961,18.05,77.0,25.68
High,KNPRES12DEL01,Clear,Buffet,Bike,27,5.0,26.492.106,80.327.797,26.562.106,80.397.797,21.83,54.0,16.06
High,MUMRES010DEL01,Foggy,Drinks,Bike,28,4.5,19.003.517,7.282.765,19.073.517,7.289.765,27.03,44.0,16.04
High,RANCHIRES08DEL01,Clear,Drinks,Bike,29,4.6,23.353.783,85.326.967,23.463.783,85.436.967,17.88,67.0,18.0
High,HYDRES16DEL01,Cloudy,Snack,Bike,27,4.6,17.440.827,78.393.391,17.510.827,78.463.391,21.34,64.0,16.25
High,HYDRES18DEL03,Cloudy,Meal,Bike,33,4.8,17.450.851,78.379.347,17.510.851,78.439.347,21.25,64.0,13.4
High,PUNERES05DEL02,Clear,Snack,Bike,20,4.7,18.543.626,73.905.101,18.623.626,73.985.101,19.13,64.0,17.74
High,MYSRES02DEL03,Cloudy,Snack,Bike,34,4.2,12.304.569,76.643.622,12.364.569,76.703.622,18.3,81.0,13.89
High,MYSRES03DEL01,Cloudy,Meal,Bike,22,4.7,12.299.524,7.664.262,12.369.524,7.671.262,18.25,81.0,15.77
High,BANGRES04DEL02,Foggy,Snack,E-Bike,24,4.6,1.298.041,77.640.489,1.306.041,77.720.489,19.37,93.0,16.67
High,JAPRES07DEL02,Foggy,Drinks,Bike,21,4.7,26.766.536,75.837.333,26.896.536,75.967.333,20.12,68.0,37.48
High,MUMRES07DEL03,Foggy,Buffet,Bike,20,4.5,19.091.458,72.827.808,19.151.458,72.887.808,26.49,44.0,16.18
High,SURRES07DEL01,Clear,Drinks,Bike,30,4.7,21.170.798,72.790.489,21.280.798,72.900.489,22.85,43.0,22.18
High,PUNERES19DEL01,Clear,Drinks,Bike,32,4.4,18.563.934,73.915.367,18.603.935,73.955.367,19.08,65.0,12.92
High,INDORES15DEL03,Clear,Snack,Bike,23,4.6,22.760.072,75.892.574,22.850.072,75.982.574,17.26,53.0,16.74
High,HYDRES19DEL03,Cloudy,Buffet,Bike,20,4.7,17.458.998,78.500.366,17.518.998,78.560.366,21.24,64.0,12.95
High,RANCHIRES010DEL02,Clear,Buffet,Bike,34,4.8,23.354.422,853.329,23.484.422,854.629,17.6,69.0,20.31
High,INDORES07DEL03,Clear,Meal,E-Bike,33,3.9,22.722.634,75.886.959,22.812.634,75.976.959,17.21,53.0,19.02
High,BANGRES20DEL01,Foggy,Drinks,Bike,29,4.6,12.972.161,77.596.014,13.042.161,77.666.014,19.72,93.0,12.6
High,MYSRES02DEL02,Partly Cloudy,Drinks,Bike,34,4.7,12.304.569,76.643.622,12.354.569,76.693.622,17.97,77.0,12.84
High,SURRES05DEL01,Clear,Buffet,Bike,26,4.6,21.175.104,72.804.342,21.245.104,72.874.342,22.9,43.0,14.85
High,RANCHIRES16DEL01,Clear,Snack,Bike,39,4.1,23.371.292,85.327.872,23.441.292,85.397.872,17.77,68.0,18.75
High,PUNERES06DEL01,Clear,Meal,Bike,34,3.8,18.546.258,73.904.337,18.656.258,74.014.337,19.42,65.0,22.85
High,JAPRES010DEL03,Foggy,Buffet,Bike,22,4.7,26.921.411,75.793.604,26.981.411,75.853.604,19.47,68.0,11.89
High,MYSRES15DEL02,Partly Cloudy,Meal,Bike,27,4.0,12.352.058,7.660.665,12.432.058,7.668.665,18.36,82.0,19.48
High,COIMBRES19DEL01,Foggy,Drinks,Bike,29,4.9,11.022.298,76.998.349,11.132.298,77.108.349,25.15,73.0,21.2
High,RANCHIRES18DEL03,Clear,Drinks,Bike,26,4.9,23.351.489,85.324.253,23.411.489,85.384.253,17.72,68.0,11.34
High,VADRES01DEL01,Clear,Drinks,Bike,24,2.6,22.307.898,73.167.788,22.417.898,73.277.788,22.47,44.0,20.94
High,CHENRES03DEL01,Foggy,Buffet,Bike,28,4.0,13.091.809,80.219.104,13.131.809,80.259.104,26.31,88.0,9.62
High,RANCHIRES18DEL02,Clear,Meal,Bike,29,4.6,23.351.489,85.324.253,23.431.489,85.404.253,17.79,68.0,16.17
High,COIMBRES14DEL02,Foggy,Snack,Bike,20,4.7,11.003.681,76.975.525,11.053.681,77.025.525,23.86,78.0,10.04
High,BANGRES15DEL01,Foggy,Buffet,Bike,32,4.0,12.975.377,77.696.664,13.045.377,77.766.664,19.45,93.0,17.12
High,VADRES20DEL01,Clear,Meal,Bike,20,4.9,22.311.358,73.164.798,22.421.358,73.274.798,22.49,44.0,19.95
High,SURRES09DEL01,Clear,Buffet,Bike,38,4.8,21.175.975,72.795.503,21.285.975,72.905.503,22.84,43.0,21.59
High,SURRES07DEL02,Clear,Drinks,Bike,24,4.9,21.170.798,72.790.489,21.300.798,72.920.489,22.81,43.0,23.68
High,RANCHIRES06DEL03,Clear,Meal,Bike,35,4.7,23.357.804,85.325.146,23.417.804,85.385.146,17.84,68.0,11.6
High,COIMBRES16DEL02,Foggy,Snack,Bike,35,4.7,11.010.375,7.695.295,11.090.375,7.703.295,24.95,73.0,17.3
High,MUMRES16DEL01,Foggy,Drinks,Bike,29,4.8,19.120.083,72.907.385,19.190.083,72.977.385,27.0,44.0,14.32
High,AGRRES01DEL02,Clear,Meal,Bike,24,4.4,27.161.661,78.011.544,27.241.661,78.091.544,21.83,50.0,18.98
High,COIMBRES20DEL02,Foggy,Drinks,Bike,33,4.1,10.994.136,76.963.303,11.074.136,77.043.303,25.01,73.0,15.4
High,CHENRES010DEL02,Cloudy,Drinks,Bike,34,4.8,13.066.762,80.251.865,13.116.762,80.301.865,26.39,88.0,13.21
High,PUNERES13DEL03,Clear,Drinks,Bike,21,4.7,1.856.245,73.916.619,1.865.245,74.006.619,19.37,65.0,21.93
High,KOCRES20DEL01,Foggy,Drinks,Bike,27,4.9,9.979.186,76.317.361,10.049.186,76.387.361,24.0,88.0,15.83
High,PUNERES010DEL01,Clear,Drinks,Bike,31,4.2,18.539.299,73.897.902,18.609.299,73.967.902,18.93,65.0,16.2
High,BANGRES14DEL02,Foggy,Buffet,Bike,34,4.4,12.949.934,77.699.386,12.999.934,77.749.386,19.73,93.0,14.78
High,KOCRES11DEL01,Foggy,Meal,Bike,23,4.7,10.006.881,76.345.397,10.076.881,76.415.397,23.86,88.0,15.03
High,COIMBRES13DEL01,Foggy,Snack,Bike,28,4.7,11.003.669,76.976.494,11.073.669,77.046.494,25.06,73.0,14.28
High,CHENRES08DEL02,Foggy,Drinks,Bike,20,4.7,13.022.394,80.242.439,13.072.394,80.292.439,26.48,87.0,12.4
High,MYSRES15DEL01,Partly Cloudy,Buffet,Bike,28,4.7,12.352.058,7.660.665,12.462.058,7.671.665,18.25,82.0,23.28
High,VADRES01DEL01,Clear,Drinks,Bike,25,4.8,22.307.898,73.167.788,22.417.898,73.277.788,22.47,44.0,20.94
High,JAPRES17DEL02,Foggy,Snack,Bike,34,3.5,26.892.312,75.806.896,26.972.313,75.886.896,19.99,68.0,14.11
High,VADRES13DEL01,Clear,Drinks,Bike,24,4.9,22.310.237,73.158.921,22.420.237,73.268.921,22.49,44.0,20.49
High,RANCHIRES04DEL03,Clear,Snack,Bike,33,4.6,23.359.033,85.325.347,23.449.033,85.415.347,17.54,69.0,18.49
High,LUDHRES06DEL02,Clear,Snack,Bike,34,4.9,30.895.204,75.822.103,30.945.204,75.872.103,19.01,56.0,11.67
High,ALHRES08DEL03,Clear,Drinks,E-Bike,28,4.9,25.450.329,81.834.279,25.540.329,81.924.279,21.98,55.0,18.13
High,PUNERES07DEL01,Clear,Buffet,Bike,34,3.7,18.546.947,73.900.626,18.656.947,74.010.626,19.42,65.0,23.24
High,MUMRES14DEL03,Foggy,Buffet,Bike,38,4.6,191.813,72.836.191,192.413,72.896.191,26.22,44.0,13.14
High,JAPRES06DEL03,Clear,Drinks,Bike,29,4.5,26.911.927,75.797.282,27.001.927,75.887.282,19.95,46.0,17.28
High,COIMBRES20DEL03,Foggy,Snack,Bike,24,4.6,10.994.136,76.963.303,11.084.136,77.053.303,24.97,73.0,17.5
High,SURRES04DEL01,Clear,Buffet,Bike,30,4.2,21.173.493,72.801.953,21.243.493,72.871.953,22.87,42.0,14.05
High,COIMBRES13DEL01,Foggy,Drinks,Bike,20,4.9,11.003.669,76.976.494,11.073.669,77.046.494,25.06,73.0,14.28
High,BANGRES20DEL01,Foggy,Buffet,Bike,31,4.4,12.972.161,77.596.014,13.042.161,77.666.014,19.72,93.0,12.6
High,JAPRES17DEL02,Foggy,Snack,Bike,39,4.9,26.892.312,75.806.896,26.972.313,75.886.896,19.99,68.0,14.11
High,SURRES13DEL02,Clear,Buffet,Bike,30,3.8,21.170.096,72.789.122,21.250.096,72.869.122,22.9,43.0,15.72
High,CHENRES02DEL02,Foggy,Drinks,Bike,32,4.1,13.086.438,80.220.672,13.136.439,80.270.672,26.36,88.0,12.24
High,JAPRES13DEL01,Foggy,Drinks,Bike,25,4.7,26.846.156,758.023,26.956.156,759.123,20.06,68.0,23.52
High,COIMBRES09DEL03,Foggy,Snack,Bike,26,4.7,11.008.638,76.984.311,11.098.638,77.074.311,25.01,73.0,17.11
High,INDORES08DEL02,Clear,Buffet,Bike,33,4.8,22.725.748,75.898.497,22.805.747,75.978.497,17.21,53.0,18.15
High,MYSRES11DEL02,Partly Cloudy,Meal,Bike,36,4.3,12.323.225,76.630.028,12.453.225,76.760.028,18.05,77.0,25.16
High,PUNERES04DEL03,Clear,Snack,Bike,20,4.9,1.851.421,73.838.429,1.860.421,73.928.429,19.05,65.0,16.57
High,HYDRES03DEL02,Cloudy,Snack,Bike,31,4.0,17.422.819,78.449.578,17.502.819,78.529.578,21.18,65.0,16.52
High,HYDRES15DEL02,Cloudy,Snack,Bike,30,4.9,1.745.971,78.368.855,1.750.971,78.418.855,21.15,67.0,11.89
High,KOLRES03DEL03,Foggy,Drinks,Bike,27,4.9,22.526.461,88.364.453,22.616.461,88.454.453,23.03,83.0,20.49
High,PUNERES11DEL02,Clear,Drinks,Bike,30,4.9,18.533.811,73.899.315,18.583.811,73.949.315,19.18,65.0,12.57
High,COIMBRES17DEL02,Foggy,Buffet,Bike,37,4.8,11.026.117,76.944.652,11.106.117,77.024.652,24.98,73.0,16.91
High,HYDRES16DEL03,Cloudy,Meal,E-Bike,23,4.1,17.440.827,78.393.391,17.500.827,78.453.391,21.37,64.0,14.16
High,PUNERES01DEL03,Clear,Meal,Bike,26,4.1,18.569.156,73.774.723,18.629.156,73.834.723,18.93,64.0,15.49
High,COIMBRES010DEL01,Foggy,Snack,Bike,35,4.6,11.003.008,7.697.544,11.073.009,7.704.544,25.06,73.0,14.4
High,BANGRES12DEL01,Foggy,Snack,Bike,25,4.5,12.939.496,77.625.999,12.979.496,77.665.999,19.75,92.0,10.27
High,RANCHIRES01DEL03,Clear,Meal,Bike,38,4.7,23.416.792,85.316.842,23.506.792,85.406.842,17.41,69.0,18.92
High,BANGRES11DEL01,Foggy,Meal,Bike,29,4.3,12.934.365,77.616.155,12.974.365,77.656.155,19.66,91.0,10.93
High,BHPRES03DEL02,Clear,Snack,Bike,25,4.6,23.214.294,77.435.361,23.264.294,77.485.361,18.29,58.0,12.11
High,MYSRES17DEL01,Cloudy,Snack,Bike,21,4.7,12.326.356,76.619.103,12.436.356,76.729.103,18.13,82.0,21.93
High,COIMBRES15DEL01,Foggy,Snack,Bike,38,4.8,11.006.686,76.951.736,11.076.686,77.021.736,24.95,73.0,13.88
High,SURRES04DEL01,Clear,Buffet,Bike,23,2.5,21.173.493,72.801.953,21.283.493,72.911.953,22.83,43.0,21.72
High,MYSRES01DEL02,Cloudy,Meal,Bike,32,3.6,12.311.072,76.654.878,12.441.072,76.784.878,17.79,82.0,25.55
High,MYSRES11DEL02,Cloudy,Drinks,E-Bike,34,3.9,12.323.225,76.630.028,12.403.225,76.710.028,18.43,82.0,17.5
High,JAPRES07DEL02,Foggy,Buffet,Bike,21,5.0,26.766.536,75.837.333,26.846.536,75.917.333,20.18,68.0,16.14
High,HYDRES02DEL03,Cloudy,Meal,Bike,34,3.9,1.741.233,78.449.654,1.750.233,78.539.654,21.29,64.0,17.82
High,RANCHIRES01DEL01,Clear,Snack,Bike,29,4.6,23.416.792,85.316.842,23.526.792,85.426.842,17.23,69.0,19.93
High,COIMBRES03DEL02,Foggy,Drinks,Bike,32,4.8,11.025.083,77.015.393,11.105.083,77.095.393,25.02,73.0,15.95
High,JAPRES16DEL01,Foggy,Buffet,Bike,22,4.3,26.849.596,75.800.512,26.919.596,75.870.512,19.69,68.0,14.04
High,MYSRES13DEL01,Partly Cloudy,Buffet,Bike,35,4.1,12.310.972,76.659.264,12.420.972,76.769.264,18.07,78.0,26.02
High,PUNERES14DEL01,Clear,Meal,Bike,22,3.5,18.516.216,73.842.527,18.586.216,73.912.527,19.14,65.0,13.2
High,BANGRES02DEL02,Foggy,Snack,Bike,28,4.9,12.970.221,77.645.396,13.020.221,77.695.396,19.9,93.0,10.9
High,RANCHIRES16DEL01,Clear,Meal,Bike,35,3.6,23.371.292,85.327.872,23.441.292,85.397.872,17.77,68.0,18.75
High,BHPRES15DEL03,Clear,Meal,Bike,38,4.8,23.234.249,77.434.007,23.294.249,77.494.007,18.24,57.0,13.62
High,JAPRES03DEL03,Clear,Meal,Bike,25,4.3,26.913.483,75.803.139,27.003.483,75.893.139,19.95,46.0,16.52
High,COIMBRES02DEL02,Foggy,Buffet,Bike,39,4.9,11.022.477,76.995.667,11.102.477,77.075.667,25.05,73.0,15.17
High,PUNERES02DEL01,Clear,Meal,Bike,29,4.9,1.855.144,73.804.855,1.862.144,73.874.855,18.97,65.0,17.24
High,SURRES01DEL01,Clear,Buffet,E-Bike,30,4.4,21.186.438,72.794.115,21.296.438,72.904.115,22.79,43.0,20.21
High,PUNERES010DEL01,Clear,Meal,Bike,21,4.8,18.539.299,73.897.902,18.609.299,73.967.902,18.93,65.0,16.2
High,MYSRES13DEL01,Cloudy,Meal,Bike,23,4.7,12.310.972,76.659.264,12.380.972,76.729.264,18.34,82.0,14.43
High,RANCHIRES010DEL01,Clear,Meal,Bike,31,4.8,23.354.422,853.329,23.424.422,854.029,17.85,68.0,15.62
High,JAPRES06DEL01,Foggy,Buffet,Bike,28,4.5,26.911.927,75.797.282,26.981.927,75.867.282,19.83,68.0,14.26
High,LUDHRES18DEL03,Clear,Buffet,Bike,20,3.9,30.890.184,75.829.615,30.950.184,75.889.615,18.95,56.0,13.59
High,COIMBRES20DEL03,Foggy,Buffet,Bike,35,4.8,10.994.136,76.963.303,11.084.136,77.053.303,24.97,73.0,17.5
High,KOLRES20DEL02,Foggy,Drinks,Bike,20,4.7,22.514.119,88.362.504,22.594.119,88.442.504,23.03,83.0,15.68
High,INDORES06DEL03,Clear,Meal,Bike,33,5.0,22.728.163,75.884.212,22.818.163,75.974.212,17.23,53.0,19.18
High,MUMRES09DEL03,Foggy,Drinks,Bike,25,4.8,18.994.049,72.825.203,19.054.049,72.885.203,27.01,44.0,11.59
High,PUNERES19DEL02,Clear,Buffet,Bike,31,4.4,18.563.934,73.915.367,18.693.935,74.045.367,19.15,64.0,26.35
High,SURRES03DEL01,Clear,Meal,Bike,34,3.8,21.186.884,72.793.616,21.296.884,72.903.616,22.79,43.0,20.19
High,COIMBRES03DEL02,Foggy,Meal,Bike,30,4.2,11.025.083,77.015.393,11.105.083,77.095.393,25.02,73.0,15.95
High,COIMBRES17DEL01,Foggy,Drinks,Bike,23,4.8,11.026.117,76.944.652,11.096.117,77.014.652,24.84,73.0,15.4
High,RANCHIRES15DEL03,Clear,Buffet,Bike,34,4.6,23.369.746,8.533.982,23.429.746,8.539.982,17.79,68.0,14.53
High,SURRES07DEL02,Clear,Meal,Bike,20,5.0,21.170.798,72.790.489,21.250.798,72.870.489,22.9,43.0,14.64
High,BHPRES11DEL03,Clear,Snack,Bike,25,4.9,23.233.219,77.433.571,23.293.219,77.493.571,18.24,57.0,13.6
High,JAPRES06DEL02,Foggy,Meal,Bike,35,4.9,26.911.927,75.797.282,26.961.927,75.847.282,19.73,68.0,9.76
High,CHENRES18DEL03,Foggy,Snack,Bike,31,4.9,12.981.615,80.231.598,13.041.615,80.291.598,26.54,88.0,12.35
High,RANCHIRES07DEL02,Clear,Buffet,Bike,35,4.4,23.359.407,85.325.055,23.409.407,85.375.055,17.72,68.0,9.75
